GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mockForHttpClient,tqs.mockforhttpclient,MockForHttpClientApplication,5,3,0,0,2,1,1,1,1,1
mockForHttpClient,tqs.mockforhttpclient,ProductFinderService,8,38,1,3,3,10,1,3,0,2
mockForHttpClient,tqs.mockforhttpclient,TqsBasicHttpClient,0,28,0,0,0,8,0,2,0,2
